,constructorId,positionOrder,circuitId,sumpoints
893,51,17,34,0.0
917,117,10,34,1.0
186,3,15,34,0.0
253,3,19,34,0.0
1070,210,6,34,8.0
680,9,10,34,1.0
1292,213,7,34,6.0
447,5,20,34,0.0
1252,211,13,34,0.0
887,51,16,34,0.0
967,131,1,34,50.0
1156,210,17,34,0.0
1247,211,12,34,0.0
428,5,15,34,0.0
423,5,14,34,0.0
1320,213,13,34,0.0
1277,213,4,39,12.0
876,51,15,39,0.0
1195,210,20,39,0.0
593,9,1,39,25.0
676,9,8,39,4.0
75,1,10,39,1.0
84,1,11,39,0.0
991,131,2,39,19.0
226,3,17,39,0.0
1350,214,6,39,8.0
511,6,5,39,10.0
861,51,14,39,0.0
207,3,16,39,0.0
1368,214,9,39,2.0
1172,210,18,39,0.0
1009,131,3,39,15.0
527,6,7,39,6.0
932,117,13,39,0.0
926,117,12,39,0.0
1335,213,19,39,0.0
1386,214,19,69,0.0
1302,213,9,69,2.0
1238,211,10,69,1.0
1129,210,15,69,0.0
1139,210,16,69,0.0
1173,210,18,69,0.0
1342,213,20,69,0.0
1253,211,13,69,0.0
1157,210,17,69,0.0
1384,214,18,69,0.0
1196,210,20,69,0.0
694,9,16,69,0.0
772,15,10,69,1.0
126,1,18,69,0.0
851,51,13,69,0.0
968,131,1,69,25.0
227,3,17,69,0.0
315,4,9,69,2.0
57,1,8,69,8.0
295,4,7,69,6.0
287,4,6,69,16.0
862,51,14,69,0.0
581,6,20,69,0.0
927,117,12,69,0.0
594,9,1,69,25.0
176,3,14,69,0.0
918,117,10,69,1.0
607,9,2,69,18.0
85,1,11,69,0.0
623,9,3,69,30.0
654,9,5,69,10.0
254,3,19,69,0.0
528,6,7,69,6.0
44,1,7,69,6.0
1037,131,6,69,8.0
411,5,12,69,0.0
187,3,15,69,0.0
992,131,2,69,37.0
456,6,1,69,25.0
1010,131,3,69,15.0
165,3,13,69,0.0
21,1,5,69,10.0
755,10,19,69,0.0
431,5,16,69,0.0
495,6,4,69,37.0
729,10,8,69,4.0
1033,131,5,69,10.0
788,15,15,69,0.0
388,5,9,69,2.0
826,51,11,69,0.0
670,9,7,70,6.0
667,9,6,70,8.0
228,3,17,70,0.0
767,15,9,70,2.0
177,3,14,70,0.0
208,3,16,70,0.0
188,3,15,70,0.0
1140,210,16,70,0.0
1387,214,20,70,0.0
1307,213,10,70,2.0
1318,213,12,70,0.0
1158,210,17,70,0.0
726,10,7,70,6.0
1303,213,9,70,2.0
705,9,18,70,0.0
721,10,6,70,8.0
685,9,13,70,0.0
1174,210,18,70,0.0
715,9,20,70,0.0
639,9,4,70,24.0
405,5,11,70,0.0
370,4,20,70,0.0
429,5,15,70,0.0
