resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,total_points_driver,average_col_acc
25384,1072,847,3,63,14,\N,R,19,0,14,\N,\N,7,19,01:36.1,231.211,4,19.00,0.08
25385,1072,854,210,47,19,\N,R,20,0,8,\N,\N,8,18,01:36.0,231.421,3, -   ,0.09
25386,1073,830,9,33,1,1,1,1,26,58,30:17.3,5417345,39,1,01:26.1,220.8,1,1136.50,0.09
25387,1073,1,131,44,2,2,2,2,18,58,2.256,5419601,43,3,01:26.6,219.495,1,1555.50,0.01
25388,1073,832,6,55,5,3,3,3,15,58,5.173,5422518,51,9,01:27.6,216.982,1,418.50,0.04
25389,1073,852,213,22,8,4,4,4,12,58,5.692,5423037,50,7,01:27.5,217.285,1,32.00,0.05
25390,1073,842,213,10,12,5,5,5,10,58,6.531,5423876,49,6,01:27.3,217.668,1,309.00,0.06
25391,1073,822,131,77,6,6,6,6,8,58,7.463,5424808,51,5,01:26.9,218.871,1,1022.00,0.04
25392,1073,846,1,4,3,7,7,7,6,58,59.2,5476545,58,4,01:26.8,219.123,1,306.00,0.05
25393,1073,4,214,14,11,8,8,8,4,58,+1:01.708,5479053,58,8,01:27.6,217.01,1,131.00,0.05
